"","period","org_code","type","attendances","breaches","admissions"
"227",2017-03-01,"RHQ","1",9335,2094,2861
"228",2017-03-01,"RHQ","2",1364,0,3
"229",2017-03-01,"RHQ","other",6906,40,4
"230",2017-03-01,"RTR","1",10362,558,1919
"231",2017-03-01,"RTR","other",5164,0,16
"232",2017-03-01,"RE9","1",5071,99,1228
"233",2017-03-01,"RE9","other",669,1,0
"234",2017-03-01,"RVY","1",6542,1384,1905
"235",2017-03-01,"RVY","other",5161,6,0
"236",2017-03-01,"RBN","1",8808,1757,3497
"237",2017-03-01,"RBN","other",5611,54,0
"238",2017-03-01,"RWJ","1",8174,1652,2699
"239",2017-03-01,"RMP","1",7390,869,1708
"240",2017-03-01,"RTD","1",10697,1131,2116
"241",2017-03-01,"RTD","2",1997,40,15
"242",2017-03-01,"RTD","other",4685,0,4
"243",2017-03-01,"RFR","1",6515,1054,1671
"244",2017-03-01,"RFR","other",4146,0,0
"245",2017-03-01,"RM2","1",8420,685,2478
"246",2017-03-01,"RTX","1",7121,1411,2019
"247",2017-03-01,"RTX","other",1823,75,78
"248",2017-03-01,"RWW","1",6890,953,2632
"249",2017-03-01,"RWW","other",3827,39,0
"250",2017-03-01,"RY7","other",4696,29,0
"251",2017-03-01,"RBL","1",8068,1965,2546
"252",2017-03-01,"RBL","other",2629,40,0
"253",2017-03-01,"AJN","other",452,0,0
"254",2017-03-01,"RRF","1",7741,936,1972
"255",2017-03-01,"RCB","1",9036,1664,3543
"256",2017-03-01,"RCB","other",6659,16,0
"257",2017-03-01,"RTK","1",8355,1383,1982
"258",2017-03-01,"RTK","other",1581,0,0
"259",2017-03-01,"Y02688","other",3368,3,0
"260",2017-03-01,"NQT10","other",3175,95,0
"261",2017-03-01,"RWX","other",5523,0,0
"262",2017-03-01,"Y04538","other",3280,1,0
"263",2017-03-01,"RXH","1",12686,2158,3561
"264",2017-03-01,"RXH","2",1177,1,25
"265",2017-03-01,"NLW","other",4636,1,0
"266",2017-03-01,"RXQ","1",7101,873,2891
"267",2017-03-01,"RXQ","2",1318,0,542
"268",2017-03-01,"RXQ","other",3611,15,0
"269",2017-03-01,"Y00058","other",2315,12,0
"270",2017-03-01,"NLT02","other",1194,0,0
"271",2017-03-01,"RJ8","other",8522,15,1
"272",2017-03-01,"RN7","1",8866,904,2514
"273",2017-03-01,"RN7","other",1823,1,0
"274",2017-03-01,"RBD","1",3607,69,1310
"275",2017-03-01,"RBD","other",4019,2,0
"276",2017-03-01,"RVV","1",12737,3548,3336
"277",2017-03-01,"RVV","other",5216,13,466
"278",2017-03-01,"RXC","1",9442,1822,2801
"279",2017-03-01,"DD401","other",782,0,0
"280",2017-03-01,"RDU","1",20403,1745,6054
"281",2017-03-01,"R1J","other",5799,22,0
"282",2017-03-01,"RTE","1",11503,2555,3464
"283",2017-03-01,"RN3","1",6515,1826,2065
"284",2017-03-01,"RN3","other",5725,89,0
"285",2017-03-01,"RN5","1",9087,410,2428
"286",2017-03-01,"RN5","other",1206,0,0
"287",2017-03-01,"NDA57","other",751,1,0
"288",2017-03-01,"R1F","1",3477,788,744
"289",2017-03-01,"R1F","other",1523,0,0
"290",2017-03-01,"RYY","other",6501,3,0
"291",2017-03-01,"NR5","other",3682,1,0
"292",2017-03-01,"RWF","1",11963,1448,3677
"293",2017-03-01,"RWF","other",1996,7,0
"294",2017-03-01,"RPA","1",10452,2351,2263
"295",2017-03-01,"RVJ","1",7222,844,2324
"296",2017-03-01,"RBZ","1",3521,661,1117
"297",2017-03-01,"RBZ","other",3911,0,0
"298",2017-03-01,"L83087","other",179,0,0
"299",2017-03-01,"RNU","other",2955,106,0
"300",2017-03-01,"RTH","1",11198,1676,3100
"301",2017-03-01,"RTH","2",1797,0,61
"302",2017-03-01,"NLX02","other",711,0,0
"303",2017-03-01,"RK9","1",8345,1284,3008
"304",2017-03-01,"RK9","2",250,0,0
"305",2017-03-01,"RD3","1",5584,361,1692
"306",2017-03-01,"RD3","other",1363,0,0
"307",2017-03-01,"RHU","1",9418,2688,2921
"308",2017-03-01,"RHU","2",897,3,0
"309",2017-03-01,"RHU","other",2036,18,0
"310",2017-03-01,"RPC","other",910,1,31
"311",2017-03-01,"RHW","1",9380,594,3063
"312",2017-03-01,"RHW","2",1495,5,5
"313",2017-03-01,"REF","1",6059,1664,2489
"314",2017-03-01,"REF","other",1521,25,26
"315",2017-03-01,"RH8","1",8240,614,1849
"316",2017-03-01,"RH8","other",712,0,0
"317",2017-03-01,"RA2","1",5854,205,2017
"318",2017-03-01,"RD1","1",6218,1379,2103
"319",2017-03-01,"RD1","other",941,12,128
"320",2017-03-01,"RNZ","1",3807,303,1062
"321",2017-03-01,"RNZ","2",325,0,0
"322",2017-03-01,"Y02666","other",1357,0,0
"323",2017-03-01,"RH5","other",7026,40,0
"324",2017-03-01,"RYF","other",1293,0,0
"325",2017-03-01,"NTP11","other",3970,2,0
"326",2017-03-01,"RW1","other",2296,19,9
"327",2017-03-01,"NTPAD","other",4816,16,0
"328",2017-03-01,"RTP","1",8344,412,2264
"329",2017-03-01,"RDR","other",8981,388,0
"330",2017-03-01,"RBA","1",5394,311,1773
"331",2017-03-01,"AAH","other",203,0,0
"332",2017-03-01,"RDZ","1",6326,428,1876
"333",2017-03-01,"RDZ","2",1517,0,3
"334",2017-03-01,"RA9","1",5933,503,2530
"335",2017-03-01,"RA9","other",2804,0,0
"336",2017-03-01,"RHM","1",8622,1012,3456
"337",2017-03-01,"RHM","2",1564,35,11
"338",2017-03-01,"RA7","1",9307,1869,2918
"339",2017-03-01,"RA7","2",1947,16,12
"340",2017-03-01,"RYR","1",11417,515,3199
"341",2017-03-01,"RYR","other",965,4,0
"342",2017-03-01,"RA3","1",4350,972,1007
"343",2017-03-01,"NDA56","other",2686,21,0
"344",2017-03-01,"G82071","other",2311,0,0
"345",2017-03-01,"NDA55","other",3167,13,0
"346",2017-03-01,"NLX24","other",1509,12,0
"347",2017-03-01,"RA4","1",3963,62,1404
"348",2017-02-01,"RF4","1",17917,2694,4208
"349",2017-02-01,"RF4","2",616,4,0
"350",2017-02-01,"RF4","other",2673,20,0
"351",2017-02-01,"R1H","1",25955,6186,5820
"352",2017-02-01,"R1H","2",651,0,0
"353",2017-02-01,"R1H","other",9882,172,0
"354",2017-02-01,"AD913","other",3768,2,0
"355",2017-02-01,"RYX","other",17023,144,0
"356",2017-02-01,"RQM","1",14482,1942,3188
"357",2017-02-01,"RQM","other",6680,91,0
"358",2017-02-01,"RJ6","1",5761,1374,2021
"359",2017-02-01,"RJ6","other",3202,21,0
"360",2017-02-01,"Y02696","other",1016,0,0
"361",2017-02-01,"NX122","other",2261,0,0
"362",2017-02-01,"RVR","1",10654,534,3003
"363",2017-02-01,"RVR","2",484,2,8
"364",2017-02-01,"RJ1","1",10683,1471,2867
"365",2017-02-01,"RJ1","2",700,0,0
"366",2017-02-01,"RJ1","other",2634,5,0
"367",2017-02-01,"Y03082","other",3459,0,0
"368",2017-02-01,"RQX","1",8790,507,1498
"369",2017-02-01,"RY9","other",4088,1,0
"370",2017-02-01,"RYJ","1",8452,2565,2835
"371",2017-02-01,"RYJ","2",3672,13,8
"372",2017-02-01,"RYJ","other",9528,57,0
"373",2017-02-01,"RJZ","1",15070,3754,4017
"374",2017-02-01,"RJZ","2",1880,1,0
"375",2017-02-01,"RJZ","other",4192,175,0
"376",2017-02-01,"RAX","1",7677,1121,1646
"377",2017-02-01,"RAX","2",915,0,0
"378",2017-02-01,"RJ2","1",16054,3095,4397
"379",2017-02-01,"RJ2","other",5012,0,0
"380",2017-02-01,"R1K","1",10644,4616,4050
"381",2017-02-01,"R1K","other",14585,109,0
"382",2017-02-01,"RP6","2",7527,100,20
"383",2017-02-01,"RAT","other",4539,35,0
"384",2017-02-01,"RAP","1",13091,2314,2233
"385",2017-02-01,"Y02973","other",757,0,0
"386",2017-02-01,"AF003","other",425,0,0
"387",2017-02-01,"AF002","other",545,0,0
"388",2017-02-01,"RAL","1",16388,2485,3255
"389",2017-02-01,"RAL","other",2831,0,0
"390",2017-02-01,"Y03047","other",1797,0,0
"391",2017-02-01,"RJ7","1",11454,1178,3429
"392",2017-02-01,"RJ7","other",1065,0,0
"393",2017-02-01,"F84747","other",2297,0,0
"394",2017-02-01,"RAS","1",5179,2175,1697
"395",2017-02-01,"RAS","other",7199,39,0
"396",2017-02-01,"Y03094","other",2815,0,0
"397",2017-02-01,"E84068","other",3141,0,0
"398",2017-02-01,"RKE","1",7431,995,1181
"399",2017-02-01,"RRV","1",10584,1144,1831
"400",2017-02-01,"Y02147","other",8613,0,0
"401",2017-02-01,"Y03201","other",2295,0,0
"402",2017-02-01,"NL7","other",5061,0,0
"403",2017-02-01,"8J094","other",2176,0,0
"404",2017-02-01,"RDD","1",10152,847,2179
"405",2017-02-01,"RC1","1",5530,444,1818
"406",2017-02-01,"M85813","other",2983,0,0
"407",2017-02-01,"RQ3","1",4586,183,837
"408",2017-02-01,"RJF","1",4493,498,1698
"409",2017-02-01,"RJF","other",3670,1,3
"410",2017-02-01,"RGT","1",8094,2093,2787
"411",2017-02-01,"RGT","other",2961,0,20
"412",2017-02-01,"RFS","1",5840,703,1780
"413",2017-02-01,"NQ108","other",1965,1,0
"414",2017-02-01,"RDE","1",6371,779,2331
"415",2017-02-01,"RDE","other",4320,0,0
"416",2017-02-01,"Y03571","other",5635,30,0
"417",2017-02-01,"RTG","1",9800,1367,3279
"418",2017-02-01,"RTG","other",3725,6,46
"419",2017-02-01,"RY8","other",4114,1,0
"420",2017-02-01,"NNJ","other",1648,0,0
"421",2017-02-01,"RWH","1",8079,1935,2856
"422",2017-02-01,"RWH","other",3890,0,0
"423",2017-02-01,"NAX","other",44,0,0
"424",2017-02-01,"NQ106","other",493,0,0
"425",2017-02-01,"RLT","1",5658,1015,948
"426",2017-02-01,"NTPAL","other",1847,0,0
"427",2017-02-01,"NEH06","other",1723,1,0
"428",2017-02-01,"RR1","1",16808,3902,5165
"429",2017-02-01,"RR1","other",3062,49,1244
"430",2017-02-01,"RY4","other",794,1,0
"431",2017-02-01,"RQQ","1",3353,765,703
"432",2017-02-01,"RGQ","1",6478,723,1885
"433",2017-02-01,"RGQ","other",373,0,156
"434",2017-02-01,"RGP","1",5269,683,1159
"435",2017-02-01,"RGP","other",90,0,0
"436",2017-02-01,"RNQ","1",6587,1502,2195
"437",2017-02-01,"C82038","other",331,0,0
"438",2017-02-01,"RY5","other",12123,80,9
"439",2017-02-01,"NJS05","other",3345,67,0
"440",2017-02-01,"RC9","1",7677,199,2466
"441",2017-02-01,"RC9","other",3285,0,0
"442",2017-02-01,"C82009","other",261,0,0
"443",2017-02-01,"NLO11","other",551,1,0
"444",2017-02-01,"NLO09","other",500,1,0
"445",2017-02-01,"RQ8","1",6980,838,2121
"446",2017-02-01,"RQ8","other",264,15,0
"447",2017-02-01,"RD8","1",6430,1181,1305
"448",2017-02-01,"RD8","other",4121,23,0
"449",2017-02-01,"Y02652","other",3543,0,0
"450",2017-02-01,"RM1","1",8464,2061,2264
"451",2017-02-01,"RM1","other",764,0,0
"452",2017-02-01,"RGN","1",6853,1104,2107
"453",2017-02-01,"RGN","other",673,0,0
"454",2017-02-01,"RNS","1",7796,1899,2812
"455",2017-02-01,"RNS","2",921,6,0
"456",2017-02-01,"NMH01","other",5082,0,0
"457",2017-02-01,"NR3","other",4548,307,0
"458",2017-02-01,"RX1","1",13183,3028,3507
"459",2017-02-01,"RX1","2",1413,22,0
"460",2017-02-01,"RX1","other",171,0,0
"461",2017-02-01,"NLO10","other",2676,23,0
"462",2017-02-01,"C82010","other",220,0,0
"463",2017-02-01,"NLO12","other",250,0,0
"464",2017-02-01,"Y02428","other",2098,0,0
"465",2017-02-01,"RXK","1",12951,3034,2869
"466",2017-02-01,"RXK","2",1713,12,14
"467",2017-02-01,"RXK","other",2520,0,0
"468",2017-02-01,"RK5","1",7642,565,2372
"469",2017-02-01,"RK5","other",3498,54,6
"470",2017-02-01,"RXW","1",8779,2497,2195
"471",2017-02-01,"RXW","other",1525,0,0
"472",2017-02-01,"R1D","2",345,0,0
"473",2017-02-01,"R1D","other",1585,0,0
"474",2017-02-01,"Y02615","other",5005,0,0
"475",2017-02-01,"RJC","1",4651,225,1571
"476",2017-02-01,"RJC","other",545,0,0
"477",2017-02-01,"RAJ","1",7328,1079,2123
"478",2017-02-01,"Y02470","other",1878,0,0
"479",2017-02-01,"Y02961","other",3314,0,0
"480",2017-02-01,"RNA","1",7769,1064,2149
"481",2017-02-01,"RNA","other",6072,0,0
"482",2017-02-01,"RQW","1",7459,2395,1494
"483",2017-02-01,"RCX","1",4553,433,1981
"484",2017-02-01,"RL4","1",9797,1689,2276
"485",2017-02-01,"RL4","other",8131,156,0
"486",2017-02-01,"RWD","1",11196,2759,3123
"487",2017-02-01,"RRK","1",8753,1654,2531
"488",2017-02-01,"RKB","1",10339,2822,3448
"489",2017-02-01,"RKB","2",1843,29,72
"490",2017-02-01,"RKB","other",1835,4,0
"491",2017-02-01,"RWE","1",10612,2793,3361
"492",2017-02-01,"RWE","2",1606,26,3
"493",2017-02-01,"RWE","other",5349,34,245
"494",2017-02-01,"RJE","1",12948,3777,4000
"495",2017-02-01,"RJE","2",377,0,0
"496",2017-02-01,"RJE","other",4003,38,0
"497",2017-02-01,"RBK","1",5593,1636,1693
"498",2017-02-01,"RBK","other",3227,25,0
"499",2017-02-01,"ATQ02","other",3578,0,0
"500",2017-02-01,"RWG","1",7178,2324,2473
"501",2017-02-01,"RWG","other",3218,1,0
"502",2017-02-01,"RGR","1",5050,812,1860
"503",2017-02-01,"RWP","1",8647,2957,2602
"504",2017-02-01,"RWP","other",4741,1,0
"505",2017-02-01,"RLQ","1",3908,965,1062
"506",2017-02-01,"RLQ","other",2698,0,0
"507",2017-02-01,"REM","1",6217,1713,2244
"508",2017-02-01,"REM","other",6378,0,0
"509",2017-02-01,"RCF","1",4577,254,971
"510",2017-02-01,"RBS","1",4536,137,963
"511",2017-02-01,"RFF","1",6281,943,1999
"512",2017-02-01,"RXL","1",6229,2417,2021
"513",2017-02-01,"RXL","other",8534,1,0
"514",2017-02-01,"RMC","1",7749,1231,2040
"515",2017-02-01,"RMC","other",924,2,1
"516",2017-02-01,"RAE","1",9969,988,2667
"517",2017-02-01,"NNF09","other",1299,0,0
"518",2017-02-01,"RY2","other",6887,105,0
"519",2017-02-01,"RWY","1",11252,737,2408
"520",2017-02-01,"RW3","1",11747,2453,3303
"521",2017-02-01,"RW3","2",3268,0,135
"522",2017-02-01,"RW3","other",8855,21,140
"523",2017-02-01,"RLN","1",7168,1242,2545
"524",2017-02-01,"RLN","2",2117,26,22
"525",2017-02-01,"RLN","other",2368,2,0
"526",2017-02-01,"RJR","1",5275,713,1338
"527",2017-02-01,"RJR","other",576,5,0
"528",2017-02-01,"RXP","1",9468,1603,3128
"529",2017-02-01,"RXP","other",9653,0,0
"530",2017-02-01,"RNN","other",1526,37,0
"531",2017-02-01,"RP5","1",9793,1360,2945
"532",2017-02-01,"RP5","other",2268,0,333
"533",2017-02-01,"RJN","1",3436,775,858
"534",2017-02-01,"RJN","other",173,0,0
"535",2017-02-01,"RXR","1",7824,2365,2836
"536",2017-02-01,"RXR","other",5405,295,41
"537",2017-02-01,"NNF28","other",84,0,0
"538",2017-02-01,"RR7","1",6572,387,1488
"539",2017-02-01,"RR7","other",2130,1,0
"540",2017-02-01,"RCD","1",3290,208,787
"541",2017-02-01,"RCD","other",724,0,0
"542",2017-02-01,"RWA","1",9827,1957,2887
"543",2017-02-01,"RWA","other",1061,0,0
"544",2017-02-01,"RV9","other",1247,2,0
"545",2017-02-01,"RXN","1",5084,1506,1545
"546",2017-02-01,"RXN","other",5446,201,337
"547",2017-02-01,"Y01231","other",1971,0,0
"548",2017-02-01,"RR8","1",15978,2830,4782
"549",2017-02-01,"RR8","other",1678,0,0
"550",2017-02-01,"Y02875","other",3693,0,0
"551",2017-02-01,"RY1","other",2172,0,0
"552",2017-02-01,"REP","2",985,17,105
"553",2017-02-01,"Y01069","other",2716,0,0
"554",2017-02-01,"RBT","1",4861,410,1594
"555",2017-02-01,"RBT","other",1303,0,0
"556",2017-02-01,"RXF","1",17442,3092,4347
"557",2017-02-01,"RNL","1",6822,945,1819
"558",2017-02-01,"RVW","1",5220,481,1510
"559",2017-02-01,"RVW","other",1321,2,3
"560",2017-02-01,"RTV","other",1728,0,0
"561",2017-02-01,"NLO01","other",6039,256,0
"562",2017-02-01,"RJL","1",9989,2698,2400
"563",2017-02-01,"RJL","other",1153,1,1
"564",2017-02-01,"RTF","1",7094,1223,3497
